学号,姓名,年龄,性别,联系方式,班级,语文,数学,英语,物理,化学,生物,政治,历史,地理,总分
202100032,spmqct,25,女,18964166464,77,101,134,134,56,60,79,40,38,50,692
202100033,aozczd,22,女,15763244744,160,81,126,142,63,66,13,59,42,29,621
202100034,lcoeil,19,男,15931734652,18,40,34,118,4,43,88,54,57,79,517
202100035,xkqmsj,20,女,17734171257,22,46,13,15,60,38,5,35,96,28,336
202100036,felygx,24,女,18715065752,77,84,38,27,22,36,66,64,55,19,411
202100037,wxdota,25,男,18922961672,148,75,58,141,47,57,8,81,9,69,545
202100038,bhjhiq,17,男,15340200628,107,114,148,91,52,64,38,50,9,46,612
202100039,mqwpoy,24,男,15935233104,23,111,95,142,6,51,49,48,90,28,620
202100040,cbuxhg,26,女,14939230002,75,23,135,57,47,92,73,19,20,5,471
202100041,cvwlmi,22,女,18194625158,34,150,74,25,67,3,32,53,30,39,473
202100042,kcspwz,20,女,17522319000,9,105,8,4,91,54,20,85,20,44,431
202100043,ldizez,19,男,18732177946,73,73,65,56,33,42,30,39,54,95,487
202100044,fbwthx,22,女,18018872463,44,19,133,14,14,28,15,29,79,51,382
202100045,iwegcg,20,男,15754022280,33,111,49,108,96,49,73,32,6,30,554
202100046,vrndlg,18,男,15926814278,138,39,95,62,93,78,5,30,4,29,435
202100047,jrfzzu,26,男,15994825628,14,150,97,47,55,11,45,8,84,41,538
202100048,juzlzt,25,女,17537459972,140,23,111,69,73,76,24,78,77,27,558
202100049,znqnuh,26,女,17766876800,27,134,52,104,72,98,45,38,89,66,698
202100050,dthupi,18,女,18169197610,91,10,50,131,94,100,69,77,49,39,619
202100051,astcac,25,女,17546831300,111,61,83,69,53,83,6,38,89,80,562
202100052,bozwcv,23,男,15896282960,136,43,77,135,12,50,34,5,55,99,510
202100053,vevfdq,23,男,13038644522,149,35,31,148,30,21,33,11,2,64,375
202100054,rdvzkt,18,女,18775321076,60,52,148,27,92,48,96,65,54,1,583
202100055,vtiilj,18,男,18051946466,131,2,41,106,52,46,15,45,10,62,379
202100056,pvuqkk,18,女,18891310630,165,80,26,100,5,91,4,37,57,28,428
202100057,lrylsl,19,女,18838737873,124,99,18,93,17,13,93,57,93,95,578
202100058,etuoxr,17,女,15396642001,131,42,2,19,98,27,33,77,7,25,330
202100059,eqqqln,21,女,15849000057,110,73,97,57,90,86,95,6,49,32,585
202100060,ljugqv,26,男,17745993465,49,48,76,94,13,92,66,29,38,42,498
202100061,bypbns,19,女,15356946902,128,31,11,102,6,10,61,16,57,65,359
202100062,ibkxql,19,男,15962735858,46,108,79,29,43,91,15,33,39,31,468
202100063,djlwla,26,女,18511123144,163,72,123,41,9,42,61,84,40,75,547
202100064,gusndl,24,男,18710697379,142,100,42,94,13,52,28,64,47,33,473
202100065,kkjnth,25,男,17542689827,9,102,0,64,55,48,36,16,36,87,444
202100066,fklkeb,26,男,15813078012,145,102,54,13,100,50,80,96,90,51,636
202100067,vjmhvs,18,男,18658806255,21,137,4,109,7,1,3,14,90,78,443
202100068,aminxo,23,女,18023760663,57,57,54,57,7,50,45,79,48,77,474
202100069,ytyldw,21,女,18676891483,67,145,88,138,27,55,69,14,47,11,594
202100070,ydific,20,女,18856123067,138,122,108,32,49,62,55,100,8,42,578
202100071,glbvoy,23,女,18092268626,143,104,24,142,9,25,96,63,2,16,481
202100072,xemfah,18,女,18127254262,11,19,41,105,70,81,64,99,40,71,590
202100073,jgqvip,20,男,13142306468,7,117,34,111,37,77,74,8,44,85,587
202100074,hmpmue,26,男,18568488729,130,26,14,139,100,0,35,83,31,26,454
202100075,tmzmly,18,男,17735458472,8,81,69,101,88,87,78,45,81,81,711
202100076,ypolhj,19,男,13636325484,121,123,147,99,63,67,87,41,23,8,658
202100077,sshhsa,22,男,17512350897,153,44,64,48,17,49,14,70,3,18,327
202100078,vxzece,19,女,18946642232,77,29,34,67,38,55,52,43,53,94,465
202100079,edyfgv,18,男,18649527286,44,29,47,57,73,51,79,21,98,35,490
202100080,jkfvvo,23,女,15338602070,104,120,60,44,79,75,24,8,90,75,575
202100081,kjgyop,24,男,17538128974,146,92,137,87,80,82,45,8,15,36,582
202100082,qkavln,22,女,18650834408,159,63,144,76,8,49,97,37,13,79,566
202100083,nhfavu,25,男,18731690534,6,105,143,50,54,71,11,20,58,91,603
202100084,uyuewr,18,女,17891500630,106,107,42,51,35,5,1,87,39,72,439
202100085,hzjxeu,17,男,18172060067,87,17,127,57,12,41,83,56,49,87,529
202100086,idarsb,22,男,18539653346,15,17,141,103,98,1,43,25,9,15,452
202100087,sygtdj,21,男,15376909972,49,86,54,135,34,83,29,22,3,56,502
202100088,yxbqud,18,男,18731768263,18,49,79,4,48,83,74,53,93,3,486
202100089,flygoj,19,男,15762173217,79,94,113,23,34,55,77,91,49,24,560
202100090,uuiogj,21,女,13515719497,60,127,136,42,34,74,32,85,2,60,592
202100091,lrygcq,25,女,18879641863,156,146,55,45,8,84,91,34,79,49,591
202100092,aqzvge,22,女,14987053611,78,47,3,126,52,83,55,7,72,14,459
202100093,bsilqr,17,男,17729015054,44,123,81,60,26,63,8,10,76,58,505
202100094,rvezdt,23,女,15376599468,6,104,2,53,4,36,64,8,72,64,407
202100095,ozzcsi,20,女,18059438756,105,104,105,143,66,2,91,53,97,45,706
202100096,gvpzqh,21,男,17550508212,134,39,108,79,86,94,94,85,47,43,675
202100097,mbpfwy,25,男,13190830584,71,0,97,18,35,32,43,72,49,96,442
202100098,euhcfs,16,女,14935445682,28,62,8,89,84,56,85,32,40,66,522
202100099,slknxq,25,男,13371492351,110,146,73,78,87,92,77,93,50,86,782
202100100,emapkb,24,男,17324306706,90,14,40,45,2,14,58,71,40,55,339
202100101,dgyxgs,18,女,18089626185,21,122,7,54,54,59,69,1,47,37,450
202100102,ewrtmn,26,女,13537376764,117,89,10,87,61,9,67,40,22,23,408
202100103,cicwcc,16,男,15344462139,84,142,51,49,67,26,0,17,69,59,480
202100104,gumhxe,18,男,18910379172,48,24,121,10,76,97,98,37,41,26,530
202100105,hsiewd,20,女,14991386623,133,125,7,105,80,15,36,71,3,26,468
202100106,zcgztp,23,男,13390916598,77,149,94,65,19,63,80,23,78,50,621
202100107,uqolgb,18,女,18941136888,145,57,112,58,52,9,15,83,88,72,546
202100108,lqyuaf,18,女,17782211230,138,31,129,81,66,3,16,56,95,45,522
202100109,pqyepa,23,男,13564152729,58,25,124,129,93,93,35,30,14,58,601
202100110,snlnut,17,女,17324207267,94,71,1,134,25,73,66,66,69,81,586
202100111,xnhaow,21,女,18748018897,73,126,112,83,40,22,65,14,23,40,525
202100112,prsjas,20,女,18751929066,163,46,8,129,64,21,30,13,30,14,355
202100113,ouqapi,23,女,18848008290,12,17,7,137,98,42,73,41,8,67,490
202100114,zujwgf,16,男,15955096929,102,45,119,68,24,65,2,92,37,0,452
202100115,yuclyp,19,女,13525799365,100,129,88,38,5,68,85,16,37,35,501
202100116,elyrdh,21,女,13553381222,5,57,3,0,6,77,79,71,17,9,319
202100117,jncbyv,17,男,15743708113,39,48,61,126,9,58,72,78,82,15,549
202100118,qqdjbm,26,男,13636036968,19,37,58,37,88,72,62,10,73,90,527
202100119,celbzz,22,女,18660857781,119,114,54,147,40,10,54,78,31,22,550
202100120,gwbgxl,22,男,17898958705,39,104,143,116,66,45,16,2,51,94,637
202100121,tzcqoj,19,男,13520908579,165,134,144,103,5,60,13,48,11,51,569
202100122,sxyqqd,17,女,15396621925,108,140,95,48,92,52,48,84,70,14,643
202100123,tcgpdp,19,男,17788623129,158,92,28,26,6,77,12,85,99,4,429
202100124,leogug,18,女,18117060342,41,22,111,75,95,75,86,80,95,34,673
202100125,nrtazc,21,男,17860079917,107,81,101,87,82,37,75,6,59,38,566
202100126,nxzfjx,26,女,17786239361,15,59,65,91,91,91,58,77,66,72,670
202100127,qxjfxt,18,女,13193034541,155,4,91,82,17,7,72,74,4,36,387
202100128,xqlnat,25,男,17845379948,9,49,86,12,21,43,24,32,80,38,385
202100129,mvetok,25,女,18888833451,43,144,122,82,87,47,36,55,19,54,646
202100130,ynezxj,25,女,13159322199,157,9,92,36,46,94,24,97,40,16,454
202100131,mvpcqv,19,男,15390105501,163,61,46,144,32,58,33,89,14,7,484
202100132,hzojip,19,女,18980674519,9,123,149,49,88,14,37,35,49,27,571
202100133,kwxeqs,26,男,13572963521,23,85,0,37,94,29,88,50,19,69,471
202100134,byqpgt,24,女,15945577894,14,85,22,60,27,94,62,64,41,64,519
202100135,ovpebj,21,女,13572948932,115,66,29,56,79,3,27,34,97,45,436
202100136,ddeymu,22,女,14913583412,153,11,6,1,7,40,7,35,5,39,151
202100137,wmkfpx,25,女,14963230900,64,121,74,84,20,62,90,69,17,49,586
202100138,iupjns,23,女,18619602183,72,83,3,63,2,90,26,60,14,75,416
202100139,zmqwnh,21,女,18078750024,17,69,134,78,4,20,98,38,55,1,497
202100140,xswbww,23,女,18721917622,57,87,121,148,37,85,67,38,22,57,662
202100141,ulzcwd,17,女,18576065411,42,32,141,122,28,32,44,91,44,89,623
202100142,ktzkjq,19,女,13569743968,56,133,38,117,95,21,100,30,81,27,642
202100143,zulrjf,16,男,13039204042,20,51,26,21,11,26,12,63,54,43,307
202100144,vyhqma,23,女,13395423109,29,106,139,145,82,35,96,97,71,82,853
202100145,vcpycm,18,女,17398076900,60,111,55,122,89,17,91,39,52,7,583
202100146,smzizz,18,女,18129768677,62,142,104,140,14,52,1,87,20,82,642
202100147,hvnwqm,25,男,17326899048,24,82,86,91,88,24,5,72,1,52,501
202100148,yzsdqg,18,女,13022576866,155,46,84,14,13,58,12,14,56,39,336
202100149,tntgna,25,男,15397145944,13,65,68,7,3,70,92,100,43,98,546
202100150,zlusqn,17,女,13367376803,115,142,116,71,25,51,81,15,70,65,636
202100151,ocvqjl,24,女,18111350109,89,121,140,85,47,5,59,3,91,71,622
202100152,zgcxjm,16,女,18767904566,148,150,18,127,75,28,28,79,65,80,650
202100153,kqolyu,24,女,13334008934,1,38,131,42,10,4,44,11,33,71,384
202100154,oomgrr,25,女,18726678434,45,54,95,120,5,43,57,69,88,64,595
202100155,pafalu,18,男,17367842734,119,55,47,105,16,99,42,20,13,27,424
202100156,vhzcgw,22,男,13328516273,32,17,137,85,22,28,36,94,38,95,552
202100157,jdektg,25,女,18150819638,152,99,3,69,55,88,100,59,76,70,619
202100158,tywzss,19,女,13574082782,128,48,60,104,15,56,66,84,67,66,566
202100159,acvzmp,19,女,15997687929,158,125,79,120,24,15,58,37,95,0,553
202100160,ronlee,23,女,15957695073,161,111,33,105,67,75,97,70,23,25,606
202100161,wnrqbe,25,男,13029586010,71,143,143,119,58,2,20,21,4,82,592
202100162,vortbp,19,女,13315005704,130,9,127,107,63,29,30,5,84,100,554
202100163,zquhsh,20,女,17532035570,67,40,64,52,50,30,73,20,88,16,433
202100164,gdrgjr,21,男,15356301209,90,145,50,14,11,1,11,50,60,69,411
202100165,wosqfe,23,男,18533144102,16,78,26,32,22,85,83,93,10,80,509
202100166,jflbnq,16,女,15786756757,8,41,139,100,62,79,18,90,100,57,686
202100167,jybdwm,21,女,18622612144,67,96,140,54,83,88,47,60,95,30,693
202100168,gzeolu,22,男,13532439129,39,69,69,143,3,15,40,50,14,71,474
202100169,uhwjbp,23,男,15347434545,28,28,80,23,26,10,71,99,72,28,437
202100170,syudbs,25,女,17548037856,90,128,48,91,86,8,22,41,53,27,504
202100171,mlsatd,16,男,13533300577,51,89,74,27,31,81,61,52,4,66,485
202100172,kwvhsf,26,男,18960551350,132,47,131,93,49,64,86,89,85,79,723
202100173,aavrli,16,女,13334978952,134,125,131,97,88,96,71,63,23,74,768
202100174,seqotd,19,女,13644670119,156,141,129,20,97,49,62,67,22,12,599
202100175,xibqsy,26,男,14979935108,157,66,129,144,11,85,70,85,26,31,647
202100176,rqegml,17,女,15710125905,30,3,127,68,49,67,72,29,100,34,549
202100177,eagdli,16,女,15764904785,103,77,13,4,59,81,64,31,24,97,450
202100178,ofrplu,18,女,14910841057,52,60,74,94,9,14,98,81,86,90,606
202100179,jabkgp,21,女,17510675573,57,120,107,105,22,90,96,9,88,89,726
202100180,nmmuqj,26,女,18684452307,86,125,38,136,100,92,77,19,83,36,706
202100181,bignjw,23,男,18076409027,124,138,18,48,43,58,91,84,0,82,562
202100182,xhfqiz,24,男,17333875599,138,34,8,133,68,30,0,83,56,9,421
202100183,zuxwkb,23,男,18117827431,37,113,71,16,5,100,69,13,94,73,554
202100184,zdudsg,26,男,13335564170,152,74,61,95,86,55,48,96,2,62,579
202100185,yhdkcc,21,男,13379493331,45,48,84,83,16,30,9,58,51,96,475
202100186,qdqesg,20,男,15897248413,162,104,108,73,73,76,42,22,20,91,609
202100187,ztdmut,20,女,14940070310,18,78,36,150,70,96,28,32,38,33,561
202100188,sjuzdp,18,女,13120507794,67,59,136,49,98,57,29,49,0,100,577
202100189,fldpxj,22,男,13657312119,147,45,17,111,83,46,85,72,45,27,531
202100190,rmrmfo,25,男,13645503415,18,23,94,80,1,33,77,38,4,67,417
202100191,csxgea,21,男,13019249401,150,96,117,76,44,90,70,44,17,87,641
202100192,pmcdle,20,女,17824615868,99,127,129,29,70,21,6,78,96,45,601
202100193,lqdvvk,24,男,14973022981,152,49,120,127,56,85,92,40,62,55,686
202100194,oqxfso,22,男,13148680212,107,9,40,105,2,86,64,71,83,17,477
202100195,fpmebv,22,女,15855844151,103,123,91,37,32,9,24,68,31,96,511
202100196,vydqos,24,女,17753762842,37,135,22,42,32,90,98,92,99,58,668
202100197,icwmet,20,男,17349625689,136,137,112,56,52,52,40,55,35,37,576
202100198,kryivr,24,男,18850646898,52,101,78,103,31,92,69,67,69,9,619
202100199,janduc,20,男,15790203870,32,56,109,108,21,86,37,80,52,65,614
202100200,yjxmqx,19,女,18676018521,81,143,128,36,38,4,37,81,24,65,556
202100201,pfsfta,23,女,13626458935,136,84,24,75,1,44,39,42,34,88,431
202100202,bmcrqy,17,女,13035517021,26,108,79,143,97,33,69,35,74,1,639
202100203,giwatl,22,男,17829668283,4,137,67,103,17,38,78,1,5,7,453
202100204,jetzez,18,男,18014562632,57,79,103,99,70,15,71,79,100,93,709
202100205,zsowhu,23,女,13562495977,90,15,47,88,60,87,89,28,49,74,537
202100206,bnxeie,17,男,17757037018,133,139,133,100,20,0,81,71,97,11,652
202100207,cjgyyb,19,女,15982575856,86,39,101,81,10,4,25,18,30,9,317
202100208,kgllvz,23,女,15313027353,166,38,106,91,9,94,19,39,30,24,450
202100209,gezyhd,19,女,13669711084,160,48,95,40,33,34,3,37,31,29,350
202100210,nnimpb,21,男,17361890113,107,145,125,56,79,75,40,24,26,76,646
202100211,ttdfit,19,女,17581018645,105,113,61,103,41,78,18,83,42,2,541
202100212,amwofi,16,男,13040767842,10,109,103,142,26,95,62,4,0,68,609
202100213,jbhdyl,17,男,18863620510,5,143,57,143,46,42,33,77,7,33,581
202100214,pzcuvb,18,女,17575707115,28,3,27,137,57,89,96,67,74,63,613
202100215,einzzj,24,男,18176982021,113,88,114,55,21,71,86,9,10,11,465
202100216,puiyci,17,男,17784191435,95,138,16,105,86,63,93,33,73,37,644
202100217,mkqbmt,20,男,18762530919,22,36,27,36,20,61,16,74,48,64,382
202100218,lbvqrn,23,女,18832067086,161,107,86,63,74,87,67,51,62,98,695
202100219,lfruip,21,女,18074560289,97,98,106,68,87,7,85,10,0,97,558
202100220,ysfcfm,16,男,17872207868,139,56,147,136,87,49,29,63,93,64,724
202100221,rizfnd,16,女,18985475449,55,113,17,144,5,50,13,27,41,40,450
202100222,omwphp,25,男,13052918920,22,28,35,55,31,19,36,59,100,46,409
202100223,dzffvu,16,女,17759930189,122,15,7,0,86,36,91,47,91,1,374
202100224,ladlhp,23,男,13626858428,88,35,94,109,65,34,48,36,63,50,534
202100225,oruvrc,19,男,17893667960,161,115,128,35,9,29,100,36,50,99,601
202100226,kgloty,24,女,15730753912,8,87,46,78,32,84,14,51,48,41,481
202100227,fbocat,19,男,18826110330,76,37,36,45,82,99,98,45,33,8,483
202100228,qzlwoz,22,男,13617917826,156,24,11,100,92,17,52,54,9,100,459
202100229,fgoizh,26,女,17317056746,102,105,99,131,76,88,68,59,96,63,785
202100230,tqyxxk,22,女,15358213899,4,80,149,11,40,55,31,66,44,70,546
202100231,qlcfgm,26,男,18597373530,95,18,51,107,39,50,39,27,26,57,414
202100232,zfummr,24,女,18740391967,74,67,102,132,36,58,55,6,8,70,534
202100233,gyixqw,18,男,17766517045,135,17,53,76,96,18,4,77,12,13,366
202100234,nbxspx,17,男,18910792746,127,33,144,15,47,28,50,88,46,2,453
202100235,hvyjdn,16,女,15721056999,158,82,80,127,71,97,86,76,82,99,800
202100236,voozhe,26,女,15778553834,143,125,10,142,11,76,20,80,37,47,548
202100237,mldtke,19,男,18582906477,120,126,37,20,75,37,18,30,8,49,400
202100238,kltpfx,26,男,18187980217,103,39,113,7,57,10,60,51,88,17,442
202100239,jqpmyy,22,女,13032179244,56,12,143,36,14,13,54,45,58,44,419
202100240,hmwxbh,17,男,13519316182,31,147,86,118,69,68,63,50,44,12,657
202100241,dgdrfn,23,男,17743315934,134,62,8,8,20,35,83,22,89,31,358
202100242,qchhpp,26,女,17778085083,77,68,66,130,94,59,44,79,54,78,672
202100243,bqhgpz,20,女,18949299457,2,97,115,125,32,42,58,37,39,14,559
202100244,srkayx,22,男,18664174581,39,116,146,94,39,30,87,77,73,65,727
202100245,qioqtq,16,男,17365207639,122,2,94,134,84,54,89,29,22,5,513
202100246,bncdaq,17,女,15983677751,6,96,90,149,74,21,25,87,19,93,654
202100247,oqlpcg,22,女,13670510154,33,127,29,134,16,71,86,60,55,61,639
202100248,sjfggs,16,女,13179862274,97,148,43,123,25,67,86,6,80,55,633
202100249,inzjlb,26,女,15759113405,125,142,2,106,21,29,22,56,90,1,469
202100250,qhpica,16,女,14949377189,14,71,132,46,69,38,38,2,96,15,507
202100251,omqqey,25,女,17734408045,81,24,110,36,19,55,46,65,57,83,495
202100252,hxldfk,22,女,13551819934,69,44,106,124,80,0,92,2,68,27,543
202100253,rownzd,20,男,13682344966,80,137,34,124,13,18,71,41,37,43,518
202100254,iweekb,19,女,18851640775,68,117,51,33,70,38,93,45,82,62,591
202100255,taptcy,21,男,17768636850,47,122,114,46,26,79,23,32,79,11,532
202100256,dxpttx,19,女,13531989725,111,27,57,146,57,2,9,38,8,6,350
202100257,qsdbuz,18,女,17569265164,157,70,149,27,78,75,13,85,41,41,579
202100258,mmwmxc,26,男,18133705323,94,144,93,11,48,35,54,35,12,21,453
202100259,qltelk,25,男,13176598160,87,0,6,43,82,57,0,46,87,76,397
202100260,rvteqs,16,男,13315534755,3,83,33,96,71,14,61,89,100,81,628
202100261,bgftql,22,女,17549944515,46,86,127,102,88,40,41,28,81,48,641
202100262,krkqwn,21,女,13313647049,155,126,134,137,67,10,43,33,25,22,597
202100263,iqmwpq,21,女,13375018844,16,98,47,126,95,89,35,52,20,63,625
202100264,mkfadi,26,男,18993095817,45,134,75,64,87,80,79,8,72,1,600
202100265,mmcwkm,24,男,18092062855,162,79,41,23,95,90,80,98,97,63,666
202100266,kspgzi,22,男,14967649379,134,20,135,28,13,63,13,73,10,45,400
202100267,biarmc,24,男,15838346665,134,62,70,32,7,16,38,53,53,47,378
202100268,gnrnzw,23,女,13671050125,2,117,76,149,61,67,83,14,71,64,702
202100269,iuadmh,16,女,18163822050,163,36,123,150,44,57,52,7,69,39,577
202100270,ofxfcq,19,女,13380601114,89,82,56,6,53,55,39,96,19,70,476
202100271,dqetuu,17,女,18761260057,130,85,51,119,25,48,65,59,52,46,550
202100272,ibnqvl,26,男,18780017927,128,19,94,21,66,72,72,51,7,7,409
202100273,nrvhir,23,男,18885670754,8,99,124,77,59,43,11,98,20,83,614
202100274,rcisbq,21,男,13020731189,76,142,92,125,98,57,41,16,23,11,605
202100275,dyvwpl,17,男,15755008822,124,147,93,11,81,79,8,5,53,92,569
202100276,yostlw,17,男,17875018752,88,44,72,39,63,72,77,89,35,59,550
202100277,snvhia,19,男,18562627858,73,73,137,127,45,54,32,34,57,38,597
202100278,vqmhtd,17,女,18519236566,45,147,121,108,70,75,88,2,42,99,752
202100279,vjhmhc,25,女,15843168137,90,39,106,100,85,90,16,55,91,68,650
202100280,larcgh,17,男,18664226523,132,16,139,82,84,23,22,10,70,59,505
202100281,hnphqy,19,女,13120051436,152,69,122,35,92,8,24,97,30,14,491
202100282,xllgbw,24,男,18123926626,70,43,14,111,12,72,41,25,59,73,450
202100283,wglwjb,20,男,15756122483,102,126,135,73,79,92,44,52,29,84,714
202100284,dgvfuq,18,男,14984352701,97,54,111,78,54,12,36,11,34,21,411
202100285,zwmhsa,26,男,13570246138,32,121,7,134,14,32,56,81,70,52,567
202100286,pjomlm,25,女,18510628476,112,148,78,148,52,28,45,6,83,0,588
202100287,lvzvls,21,女,15899675770,154,64,89,121,100,100,67,67,10,14,632
202100288,nmiula,26,男,13549774387,72,56,146,28,67,59,100,36,25,29,546
202100289,aychas,19,女,18112314035,162,54,137,10,74,87,96,37,37,17,549
202100290,olkwqu,21,女,13322812712,100,81,29,106,61,5,37,88,23,82,512
202100291,payztk,26,女,13653979674,117,126,48,110,30,27,67,97,6,51,562
202100292,thcvtw,20,女,18695677214,158,4,108,53,90,42,45,53,54,10,459
202100293,wmquir,25,男,15961088019,27,70,23,38,22,49,99,84,34,25,444
202100294,krerkv,26,男,17397984643,137,147,114,86,34,50,1,25,71,47,575
202100295,sgylmo,24,女,18686012810,141,90,23,45,4,95,47,54,81,39,478
202100296,blroha,26,男,15889164075,2,71,41,141,72,53,43,59,76,49,605
202100297,zupxbv,16,女,18133437294,31,106,48,126,22,26,63,90,98,72,651
202100298,urhgar,22,男,18035886121,15,35,42,6,66,45,98,86,75,12,465
202100299,xkihsa,25,女,18520695739,7,103,105,23,95,76,47,99,2,24,574
202100300,pvklao,22,女,17380738890,165,0,25,54,1,4,69,82,76,81,392
202100301,znanvk,18,女,15825521474,37,112,93,36,11,66,6,48,51,80,503
202100302,bhbsbz,21,男,13047681521,136,134,21,124,31,60,56,7,47,19,499
202100303,yseocx,21,男,14919941060,42,132,123,104,13,42,1,56,80,82,633
202100304,clrdnz,23,女,15788011687,79,0,59,28,38,36,2,48,42,87,340
202100305,fjogiu,18,女,15773885268,140,142,144,26,70,59,62,54,27,96,680
202100306,lmulba,18,女,18652376192,76,56,97,102,42,25,96,41,48,37,544
202100307,umrnuz,25,男,17829093845,67,85,72,138,73,80,97,16,52,72,685
202100308,omhuas,21,男,17898032916,141,96,56,57,19,64,68,59,76,28,523
202100309,efoljb,21,男,18650086945,43,29,145,30,16,88,11,10,31,9,369
202100310,svqstq,16,男,18719917543,107,127,101,107,59,68,74,26,70,2,634
202100311,xcerko,25,男,13041973212,10,55,70,138,14,73,16,44,75,5,490
202100312,qkwifl,18,男,15870466039,154,97,93,136,38,82,63,72,22,44,647
202100313,wpticv,20,女,13099808086,59,44,13,17,52,99,31,23,48,10,337
202100314,cmexye,24,男,17729387991,51,67,83,59,87,91,2,96,14,51,550
202100315,bhbdlk,17,女,17859681192,28,70,56,57,52,86,91,83,85,20,600
202100316,kxaiwv,17,男,17843704469,56,113,55,4,83,71,74,5,14,92,511
202100317,bdzzva,18,女,15937690240,116,89,98,117,86,74,73,16,40,99,692
202100318,qqiwgc,26,男,17561926582,53,67,74,4,82,10,68,74,64,64,507
202100319,dzstpi,26,女,18032622759,152,12,139,13,0,30,65,7,54,86,406
202100320,bouyqs,19,女,18866793097,144,10,77,68,50,70,67,45,68,74,529
202100321,updxlx,17,男,15786650410,166,115,92,68,3,49,66,33,54,74,554
202100322,lbpxkm,21,女,18037040742,153,129,28,40,99,13,78,6,16,41,450
202100323,fmlers,16,女,13658470851,42,68,69,28,45,39,11,98,81,46,485
202100324,rhwwhh,18,女,15865678046,160,80,19,52,100,36,38,87,59,5,476
202100325,zewspx,24,女,18746796018,58,65,136,108,66,98,97,98,13,58,739
202100326,wyjexm,24,女,13155654708,60,97,25,137,70,50,74,57,95,31,636
202100327,jfzypx,23,女,13634353188,4,27,122,58,90,94,81,51,72,69,664
202100328,rigpnp,22,男,17364151859,40,133,87,148,84,3,66,19,75,40,655
202100329,gewcmp,20,男,18546561226,87,104,143,18,70,57,12,35,58,50,547
202100330,veccde,17,女,15344259074,53,144,49,124,58,89,54,100,17,26,661
202100331,jqufhb,25,男,18110804501,6,5,53,36,7,29,75,100,95,26,426
202100332,udrsbm,25,男,17761490893,3,14,139,2,37,16,9,52,35,38,342
202100333,mlblvr,21,男,17762013814,47,124,150,44,36,60,40,2,32,60,548
202100334,rmubrf,18,女,18173862452,54,86,75,93,39,12,20,85,33,65,508
202100335,xczilx,23,女,13548943753,2,64,137,84,9,92,53,59,73,18,589
202100336,fierkb,16,男,14931518787,54,17,43,50,58,30,55,17,33,60,363
202100337,rqpcbk,24,女,13697900478,57,4,128,124,68,32,20,38,22,8,444
202100338,wcnodw,23,女,15859769132,93,102,9,104,22,40,26,43,77,75,498
202100339,elcxwm,26,女,13696355495,154,76,127,33,35,81,70,100,66,12,600
